train_loss,train_Accuracy,train_AUROC,train_BalancedAccuracy,test_loss,test_Accuracy,test_AUROC,test_BalancedAccuracy,type_model,transform,ds_type,barycentric_subdivision_idx
1.0966359376907349,0.5442322492599487,0.4991221129894256,0.2505845725536346,1.0940371751785278,0.5441262125968933,0.5257494449615479,0.25,gcn,random_node_features,no_nameless_2d,0
1.0954238176345823,0.5442322492599487,0.5006772875785828,0.2505845725536346,1.0981428623199463,0.5441262125968933,0.4795711040496826,0.25,gcn,random_node_features,no_nameless_2d,0
1.0954548120498655,0.5442322492599487,0.5074717402458191,0.2505845725536346,1.0968612432479858,0.5441262125968933,0.4939282238483429,0.25,gcn,random_node_features,no_nameless_2d,0
1.095144271850586,0.5442322492599487,0.4992538392543793,0.2505845725536346,1.0957908630371094,0.5441262125968933,0.5088694095611572,0.25,gcn,random_node_features,no_nameless_2d,0
1.0948597192764282,0.5442322492599487,0.4995414018630981,0.2505845725536346,1.0937024354934692,0.5441262125968933,0.4970567226409912,0.25,gcn,random_node_features,no_nameless_2d,0
0.7188331484794617,0.802117109298706,0.4573813080787658,0.2236902564764022,0.7365778088569641,0.797403872013092,0.4559525549411773,0.2192396968603134,tag,random_node_features,full_2d,0
0.7180269956588745,0.802117109298706,0.4489609599113464,0.2236902564764022,0.7360495328903198,0.797403872013092,0.4608420133590698,0.2192396968603134,tag,random_node_features,full_2d,0
0.7155389189720154,0.802117109298706,0.4565211236476898,0.2236902564764022,0.7329425811767578,0.797403872013092,0.467029720544815,0.2192396968603134,tag,random_node_features,full_2d,0
0.7180511951446533,0.802117109298706,0.4569238424301147,0.2236902564764022,0.7374528050422668,0.797403872013092,0.46541827917099,0.2192396968603134,tag,random_node_features,full_2d,0
0.7177509069442749,0.802117109298706,0.4515024125576019,0.2236902564764022,0.7338263392448425,0.797403872013092,0.4685138761997223,0.2192396968603134,tag,random_node_features,full_2d,0
0.7148841619491577,0.802117109298706,0.4539140462875366,0.2236902564764022,0.7323902249336243,0.797403872013092,0.4698843657970428,0.2192396968603134,gcn,random_node_features,full_2d,0
0.7154520153999329,0.802117109298706,0.4548543393611908,0.2236902564764022,0.7332056760787964,0.797403872013092,0.4592407941818237,0.2192396968603134,gcn,random_node_features,full_2d,0
0.7153822183609009,0.802117109298706,0.4560641050338745,0.2236902564764022,0.7324035167694092,0.797403872013092,0.4703752398490906,0.2192396968603134,gcn,random_node_features,full_2d,0
0.7140179872512817,0.802117109298706,0.4535343647003174,0.2236902564764022,0.7308225631713867,0.797403872013092,0.4754926860332489,0.2192396968603134,gcn,random_node_features,full_2d,0
0.715398907661438,0.802117109298706,0.4514571726322174,0.2236902564764022,0.7329678535461426,0.797403872013092,0.4665406048297882,0.2192396968603134,gcn,random_node_features,full_2d,0
1.0991007089614868,0.5443210601806641,0.4989973604679107,0.2515260875225067,1.09852135181427,0.5446585416793823,0.4865810871124267,0.2590971291065216,transfconv,degree_transform,no_nameless_2d,0
1.0960761308670044,0.5443210601806641,0.4987809658050537,0.2515260875225067,1.095491886138916,0.5446585416793823,0.4863543808460235,0.2590971291065216,transfconv,degree_transform,no_nameless_2d,0
1.1054402589797974,0.5443210601806641,0.4987401962280273,0.2515260875225067,1.1047817468643188,0.5446585416793823,0.4831261932849884,0.2590971291065216,transfconv,degree_transform,no_nameless_2d,0
1.0949885845184326,0.5443210601806641,0.498738169670105,0.2515260875225067,1.0944664478302002,0.5446585416793823,0.4870686829090118,0.2590971291065216,transfconv,degree_transform,no_nameless_2d,0
1.0968894958496094,0.5443210601806641,0.4982616305351257,0.2515260875225067,1.0963261127471924,0.5446585416793823,0.4857074022293091,0.2590971291065216,transfconv,degree_transform,no_nameless_2d,0
301.901611328125,0.1127723753452301,0.65814608335495,0.2541471123695373,294.73992919921875,0.1149745061993599,0.6771270632743835,0.2519988715648651,sccnn,degree_transform_sc,full_2d,0
497.8713989257813,0.1077113226056099,0.5837534666061401,0.2236902564764022,489.70458984375,0.1092953234910965,0.5992308259010315,0.2192396968603134,sccnn,degree_transform_sc,full_2d,0
650.7157592773438,0.1077113226056099,0.45957151055336,0.2236902564764022,651.1683959960938,0.1092953234910965,0.4687549173831939,0.2192396968603134,sccnn,degree_transform_sc,full_2d,0
838.697265625,0.1077113226056099,0.4565449357032776,0.2236902564764022,830.0286254882812,0.1092953234910965,0.4653311967849731,0.2192396968603134,sccnn,degree_transform_sc,full_2d,0
687.1946411132812,0.1077113226056099,0.4561904072761535,0.2236902564764022,694.1774291992188,0.1092953234910965,0.4649488031864166,0.2192396968603134,sccnn,degree_transform_sc,full_2d,0
1.0943905115127563,0.5443210601806641,0.4983188509941101,0.2515260875225067,1.0938305854797363,0.5446585416793823,0.4861770868301391,0.2590971291065216,gat,degree_transform,no_nameless_2d,0
1.093327879905701,0.5443210601806641,0.4992827773094177,0.2515260875225067,1.0927677154541016,0.5446585416793823,0.4843196272850036,0.2590971291065216,gat,degree_transform,no_nameless_2d,0
1.0940570831298828,0.5443210601806641,0.4987809658050537,0.2515260875225067,1.0934851169586182,0.5446585416793823,0.4863543808460235,0.2590971291065216,gat,degree_transform,no_nameless_2d,0
1.093408465385437,0.5443210601806641,0.5017420649528503,0.2515260875225067,1.0928609371185305,0.5446585416793823,0.4809657335281372,0.2590971291065216,gat,degree_transform,no_nameless_2d,0
1.0940872430801392,0.5443210601806641,0.4990689158439636,0.2515260875225067,1.093495488166809,0.5446585416793823,0.4829192459583282,0.2590971291065216,gat,degree_transform,no_nameless_2d,0
